Concentration,lat,lgn,Date
0.62,0.357293,32.584659,5/16/2017
0.62,0.357297,32.584663,5/16/2017
0.62,0.357307,32.584659,5/16/2017
0.62,0.357295,32.584651,5/16/2017
0.62,0.357312,32.584663,5/16/2017
0.62,0.357322,32.584808,5/16/2017
0.62,0.359829,32.584274,5/16/2017
0.62,,,2
1124.54,0.357134,32.581863,5/26/2017
0.62,0.35992,32.577301,5/16/2017
0.62,0.359926,32.577304,5/16/2017
0.62,0.359942,32.577308,5/16/2017
0.62,0.359923,32.577331,5/16/2017
0.62,0.359928,32.577331,5/16/2017
0.62,0.359342,32.577548,5/16/2017
0.62,0.358042,32.581142,5/16/2017
0.62,0.35762,32.583843,5/16/2017
0.62,0.358002,32.584159,5/16/2017
0.62,0.358007,32.584144,5/16/2017
0.62,0.357994,32.584159,5/16/2017
616.73,0,0,0/0/0
284.62,0,0,0/0/0
168.74,0,0,0/0/0
1862.32,0,0,0/0/0
1514.43,0,0,0/0/0
0.62,0,0,0/0/0
178.83,0,0,0/0/0
0.62,0.35765,32.584484,5/22/2017
85.18,0.357662,32.584495,5/22/2017
847.52,0.357659,32.584499,5/22/2017
1124.43,0.357653,32.584495,5/22/2017
1049.19,0.357645,32.584476,5/22/2017
3051.71,0.357632,32.584457,5/22/2017
563.76,0.357619,32.584468,5/22/2017
676.38,0.357644,32.584442,5/22/2017
3436.56,0.357658,32.584453,5/22/2017
248.61,0.357655,32.584449,5/22/2017
0.62,0.357659,32.584491,5/22/2017
837.73,0.357664,32.584529,5/22/2017
805.85,0.357682,32.584552,5/22/2017
347,0.357642,32.58448,5/22/2017
692.2,0.35766,32.584396,5/22/2017
3398.21,0.357661,32.584449,5/22/2017
958.43,0.357665,32.584423,5/22/2017
1176.08,0.357674,32.584434,5/22/2017
916.36,0.357662,32.584461,5/22/2017
1079.09,0.357651,32.584465,5/22/2017
922.16,0.357659,32.584442,5/22/2017
2397.34,0.357648,32.584442,5/22/2017
1262.81,0.357657,32.584434,5/22/2017
2997.54,0.357677,32.584407,5/22/2017
588.52,0.357675,32.584423,5/22/2017
358.45,0.357678,32.584453,5/22/2017
57.69,0.357676,32.584442,5/22/2017
658.47,0.357633,32.584468,5/22/2017
805.08,0.357662,32.584442,5/22/2017
90.41,0.35766,32.584457,5/22/2017
294.9,0.357669,32.584461,5/22/2017
652.28,0.357662,32.584457,5/22/2017
1273.96,0.357641,32.584465,5/22/2017
3318.92,0.357645,32.584468,5/22/2017
666.18,0.357649,32.584461,5/22/2017
1114.3,0.357662,32.584449,5/22/2017
22.81,0.357653,32.584461,5/22/2017
958.75,0.357676,32.584438,5/22/2017
4133.94,0.357909,32.584148,5/22/2017
199.58,0.358745,32.584529,5/22/2017
6743.25,0.360867,32.578395,5/22/2017
3651.23,0.355727,32.577537,5/22/2017
3033.23,0.352675,32.579895,5/22/2017
914.36,0.351463,32.58221,5/22/2017
1356.51,0.352619,32.583595,5/22/2017
1259.11,0.352716,32.5839,5/22/2017
1231.71,0.352707,32.5839,5/22/2017
326.21,0.352695,32.583908,5/22/2017
487.56,0.3527,32.583911,5/22/2017
945.2,0.352675,32.583904,5/22/2017
2780.75,0.352685,32.5839,5/22/2017
541.86,0.352688,32.5839,5/22/2017
895.69,0.352176,32.583599,5/22/2017
1950.73,0.351774,32.581382,5/22/2017
2503.25,0.357373,32.577114,5/22/2017
1887.02,0.358854,32.576766,5/22/2017
822.34,0.355371,32.577674,5/22/2017
1336.27,0.351763,32.581466,5/22/2017
1861.3,0.351726,32.583618,5/22/2017
3395.12,0.352694,32.583961,5/22/2017
